"album","diff_energy"
"Band On The Run (Standard)","0.33"
"Alpha Zulu","0.33"
"Mundo Lite","0.33"
"Ahí Vamos","0.33"
"As Quatro Estações","0.33"
"Back To The Game","0.33"
"CTV3: Cool Tape Vol. 3","0.33"
"El Amor Después del Amor","0.33"
"Rumours (Super Deluxe)","0.33"
"American Fool","0.33"
"Pentecostés (En Vivo)","0.33"
"Greatest Hits 1974-78","0.33"
"Animal (Expanded Edition)","0.33"
"Patched Up","0.32"
"The Dark Side of the Moon","0.32"
"Private Dancer (30th Anniversary Issue)","0.32"
"LITTLE LOVE","0.32"
"Timbiriche 7","0.32"
"Old Church Basement","0.32"
"El Patrón (La Victoria)","0.32"
"18 & 18 B-Sides","0.32"
"Move Along","0.32"
"Bollywood Music - Kumar Sanu At His Best, Vol. 2","0.32"
"I Care 4 U","0.32"
"Comeblack","0.32"
"Recargado","0.32"
"The Resistance","0.32"
"Lifehouse","0.32"
"The Best of Sade","0.32"
"Midnights","0.32"
"Confessions (Expanded Edition)","0.32"
"Ghetto Lenny's Love Songs","0.32"
"Supernatural (Legacy Edition)","0.32"
"Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","0.32"
"Aadukalam (Original Motion Picture Soundtrack)","0.32"
"Look Sharp!","0.32"
"Heart to Mouth","0.32"
"Tucanes De Oro ... Secuestro De Amor","0.32"
"New Beginning","0.32"
"Solo Un Momento","0.32"
"Frontiers","0.32"
"Cœur blanc","0.32"
"Detras Del Miedo","0.32"
"ANTI (Deluxe)","0.32"
"NAV","0.32"
"Caraluna","0.32"
"Unknown Pleasures (Collector's Edition)","0.32"
"this is what ____ feels like (Vol. 1-4)","0.32"
"SremmLife 2 (Deluxe)","0.32"
"America","0.32"
"25 Concierto Conmemorativo","0.32"
"EVERY LOSER","0.32"
"Loose","0.32"
"Ao Vivo Na Ilha Da Magia","0.32"
"Un Verano Sin Ti","0.32"
"FIXTAPE","0.32"
"Coco","0.31"
"Perfecta","0.31"
"Nuestro Amor","0.31"
"Licensed To Ill","0.31"
"Um banda um","0.31"
"The Cars","0.31"
"Mama Said","0.31"
"Local Valley","0.31"
"La Sonora Santanera en Su 60 Aniversario","0.31"
"Buy Dirt","0.31"
"MEMORIA FUTURO","0.31"
"MANSION MUSIK","0.31"
"Top Gun: Maverick (Music From The Motion Picture)","0.31"
"Static","0.31"
"Pampas Reggae","0.31"
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","0.31"
"Who is Nardo Wick?? (Deluxe)","0.31"
"Lulu Acústico","0.31"
"Mainpark Baby","0.31"
"Como En El Cielo (En Vivo)","0.31"
"Machine Head","0.31"
"emails i can't send","0.31"
"Con Los Pies en La Tierra","0.31"
"Gunehgar","0.31"
"Jagged Little Pill (2015 Remaster)","0.31"
"I Am L.V.","0.31"
"Days Like This","0.31"
"The Fray","0.31"
"See You On the Other Side","0.31"
"Blue Lines (2012 Mix/Master)","0.31"
"?","0.31"
"Musical Bond: Jeet Gannguli & Arijit Singh","0.31"
"SI AYER FUERA HOY","0.31"
"La reina de las bandas Vol. II","0.31"
"I Am","0.31"
"Different World","0.31"
"Swimming","0.31"
"Capital Inicial Multishow Ao Vivo","0.31"
"Episode","0.31"
"Ved (Original Motion Picture Soundtrack)","0.31"
"PSY 9th","0.31"
"Audioslave","0.31"
"El Fenómeno","0.31"
"Stratosphere","0.31"
"Sen A?lama","0.31"
"Hard To Imagine The Neighbourhood Ever Changing","0.31"
"This Is Not A Test","0.31"
"The Dark Knight (Original Motion Picture Soundtrack)","0.31"
"Consejos Gratis","0.30"
"to hell with it","0.30"
"The First & Second Album (30th Anniversary Edition)","0.30"
"Wanted on Voyage (Expanded Edition)","0.30"
"HIDDEN GEMS","0.30"
